time_range,day_of_week,month,mode_of_transport,geohash,direction
9-12,THURSDAY,8,ON_BICYCLE,u0m5nesr,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jsk8,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m709gk,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngzb,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jkhc,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pdw8,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n73x,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pdt1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ne9n,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n7wm,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p72s,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n54w,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m7065h,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5nezc,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jsr1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m7068q,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pds4,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5j5wt,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p5qq,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n5rv,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jupt,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngc1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngvw,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704g9,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m70664,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704zd,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngyv,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n531,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m5j5me,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5nh1b,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n7e3,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p6vj,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pd9e,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p753,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pfdt,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704b9,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ngf3,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704v0,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n5k8,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m703tb,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pd8e,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m709ur,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p5rt,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p73d,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5j7b7,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5ju3c,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m703v0,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m704b0,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5nevb,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5j7fr,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m703xd,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pde6,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m703t1,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m703qr,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5j5j0,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m7098w,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5js4n,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p6ur,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pfxn,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p5ed,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pdd6,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5nggg,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p6y4,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n7t5,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m709c9,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pf8c,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5jkpm,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p6xv,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m709vr,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5nedx,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5neyc,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n5q5,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5p5sc,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5juhx,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5n7xv,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m709ff,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5pfw5,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m596jk,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m53ubx,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53tjt,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m567ud,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m571mb,EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m5h7nv,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m572b6,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55w5j,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m570rj,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m55tcm,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56g13,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55z93,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m592x7,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m53ugy,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hjt6,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53qjy,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m53mxq,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55tcx,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55yjb,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m571w6,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hjpk,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53tnk,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56he4,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53rwf,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m596yd,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m571ht,EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m55wkj,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55z6g,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53t5m,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56fg5,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55r40,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m593wp,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5741h,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53uz1,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55xq6,SOUTH
9-12,THURSDAY,8,ON_BICYCLE,u0m56k45,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m570zq,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m567ry,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56e35,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hkb9,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m597ry,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55qhf,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55ykc,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hkh8,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56enr,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56fst,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55wtn,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m593rj,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55r8f,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53t2k,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55tb5,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m571rs,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53myw,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55qfc,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53qt8,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m5hk9c,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56k1p,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56fw0,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53t1w,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53qvc,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m597ph,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m571u3,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55yeu,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m5hjqn,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m571fz,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55qk0,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55vzd,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m571r5,EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m571jg,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hjfb,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56hrf,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55pzf,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m570q1,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m53rnk,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m567we,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55r39,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m592z5,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m56e68,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55myx,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55z56,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m567gp,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53ufx,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53ryz,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m56frd,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m570xe,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m55qe3,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hk71,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m592qf,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m567ty,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m567x0,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m571tq,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5hj9x,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m593p5,NORTH
9-12,THURSDAY,8,ON_BICYCLE,u0m5hjsn,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m570nf,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56epy,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55wvz,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56h95,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56hqq,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m5h7tu,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m596mz,NORTH_EAST
9-12,THURSDAY,8,ON_BICYCLE,u0m56ek9,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53tnc,NORTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m55xxb,SOUTH_WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m53uvk,WEST
9-12,THURSDAY,8,ON_BICYCLE,u0m56hs3,WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uf4z,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uvs7,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tm9f,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tkgf,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5szzj,SOUTH_EAST
