time_range,day_of_week,month,mode_of_transport,geohash,direction
12-15,FRIDAY,8,TRAIN,u0mgyjj5,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgv6p0,EAST
12-15,FRIDAY,8,TRAIN,u0mgyq5m,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthdb,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgt5cq,NORTH_WEST
12-15,FRIDAY,8,TRAIN,u0mu270r,EAST
12-15,FRIDAY,8,TRAIN,u0mgth7f,SOUTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgsuef,NORTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgthgm,WEST
12-15,FRIDAY,8,TRAIN,u0mgthgd,NORTH
12-15,FRIDAY,8,TRAIN,u0mthb29,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mup5k4,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgvg36,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthfv,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgv098,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupt36,EAST
12-15,FRIDAY,8,TRAIN,u0mgubj1,EAST
12-15,FRIDAY,8,TRAIN,u0muptwp,EAST
12-15,FRIDAY,8,TRAIN,u0qh0n7q,EAST
12-15,FRIDAY,8,TRAIN,u0mgsxmc,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgyx1k,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mu274v,SOUTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgswd5,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0munch3,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgv3d1,EAST
12-15,FRIDAY,8,TRAIN,u0mu269w,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgsz9h,EAST
12-15,FRIDAY,8,TRAIN,u0mgvdsd,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupypn,EAST
12-15,FRIDAY,8,TRAIN,u0mth8xd,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgsv9k,WEST
12-15,FRIDAY,8,TRAIN,u0mgthg7,NORTH
12-15,FRIDAY,8,TRAIN,u0mgthgr,SOUTH
12-15,FRIDAY,8,TRAIN,u0msmv37,EAST
12-15,FRIDAY,8,TRAIN,u0mgv0vx,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupvfm,EAST
12-15,FRIDAY,8,TRAIN,u0mup40s,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mth8rz,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupkub,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0qh0nx8,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthdu,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mu0xvq,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mun8p5,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthg3,SOUTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgvupx,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0muphrk,EAST
12-15,FRIDAY,8,TRAIN,u0mgsw5f,NORTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgyjj5,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgv6p0,EAST
12-15,FRIDAY,8,TRAIN,u0mgyq5m,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthdb,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgt5cq,NORTH_WEST
12-15,FRIDAY,8,TRAIN,u0mu270r,EAST
12-15,FRIDAY,8,TRAIN,u0mgth7f,SOUTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgsuef,NORTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgthgm,WEST
12-15,FRIDAY,8,TRAIN,u0mgthgd,NORTH
12-15,FRIDAY,8,TRAIN,u0mthb29,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mup5k4,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgvg36,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgthfv,SOUTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgv098,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mupt36,EAST
12-15,FRIDAY,8,TRAIN,u0mgubj1,EAST
12-15,FRIDAY,8,TRAIN,u0muptwp,EAST
12-15,FRIDAY,8,TRAIN,u0qh0n7q,EAST
12-15,FRIDAY,8,TRAIN,u0mgsxmc,NORTH_EAST
12-15,FRIDAY,8,TRAIN,u0mgyx1k,NORTH_EAST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z1r,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z1u,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44yfw,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z2f,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z42,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44xzv,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z89,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m468pd,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z8k,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m468pk,NORTH_EAST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44xzx,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44z8p,NORTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m44zb4,NORTH
15-18,WEDNESDAY,8,WALKING,u0m44xvu,NORTH_EAST
15-18,WEDNESDAY,8,WALKING,u0m44xvz,SOUTH
15-18,WEDNESDAY,8,WALKING,u0m468nw,SOUTH_WEST
15-18,WEDNESDAY,8,WALKING,u0m468n4,SOUTH_WEST
15-18,WEDNESDAY,8,WALKING,u0m468nk,SOUTH_WEST
15-18,WEDNESDAY,8,TRAIN,u0m4s562,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4xpyy,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m47qe9,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m6bpdk,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wxb6,EAST
15-18,WEDNESDAY,8,TRAIN,u0m46gqk,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46f1t,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46fe3,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zs9q,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wxdz,EAST
15-18,WEDNESDAY,8,TRAIN,u0m46c9p,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m4sev5,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4e80k,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z65v,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ef4b,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4tv1q,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zs05,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4e9ht,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46fuz,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70d4z,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4egpt,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4s7xx,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wzdq,EAST
15-18,WEDNESDAY,8,TRAIN,u0m70gq8,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70gm7,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4t51t,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4t4gy,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wzz8,EAST
15-18,WEDNESDAY,8,TRAIN,u0m703xx,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46bc6,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m4sgf9,EAST
15-18,WEDNESDAY,8,TRAIN,u0m700hb,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70g7v,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wj8n,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4s7th,EAST
15-18,WEDNESDAY,8,TRAIN,u0m703hx,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4xpf5,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4sgb4,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4t4y4,EAST
15-18,WEDNESDAY,8,TRAIN,u0m702fz,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m47q45,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4t7yg,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zyv1,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m468rk,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4tv7q,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ztzr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4tszr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4t6br,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m709cp,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4sgrt,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46c34,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m4sgtk,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m7149s,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wnsq,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wn73,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m47rxr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70dzr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4efkq,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m468xb,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714de,EAST
15-18,WEDNESDAY,8,TRAIN,u0m70g65,EAST
15-18,WEDNESDAY,8,TRAIN,u0m714ed,EAST
15-18,WEDNESDAY,8,TRAIN,u0m714tv,EAST
15-18,WEDNESDAY,8,TRAIN,u0m70dkr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4s5m6,EAST
15-18,WEDNESDAY,8,TRAIN,u0m47jzg,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4s7db,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4xpue,EAST
15-18,WEDNESDAY,8,TRAIN,u0m70dtz,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ts15,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m468r4,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wjfk,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m47rqh,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714se,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z20t,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4e9qq,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4e898,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wxtq,EAST
15-18,WEDNESDAY,8,TRAIN,u0m47quy,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z6vx,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46c13,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m70g0x,EAST
15-18,WEDNESDAY,8,TRAIN,u0m47jqr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wrv5,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z299,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m4efve,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4s72h,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wr6c,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zzpz,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m70gp8,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714b7,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m46b8v,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4tstr,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m714t7,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4t7t0,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m7029n,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ec8x,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m703qp,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z3dz,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z2cq,NORTH
15-18,WEDNESDAY,8,TRAIN,u0m47jj1,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wxxu,EAST
15-18,WEDNESDAY,8,TRAIN,u0m7149p,SOUTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wrsj,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zt4k,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4e8fg,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ts7e,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m47h4k,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z7wb,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4tvtd,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wr10,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wnyt,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4sef7,EAST
15-18,WEDNESDAY,8,TRAIN,u0m47hef,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z6sg,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4z33s,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m700rh,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4758x,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4zy6h,NORTH_EAST
15-18,WEDNESDAY,8,TRAIN,u0m4wztj,EAST
15-18,WEDNESDAY,8,TRAIN,u0m4ztst,NORTH_EAST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714kp,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714sc,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714d4,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714t3,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714d9,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714w1,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714e2,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714xf,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714x5,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714x4,EAST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m714wd,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70fqy,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70dr0,SOUTH
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70fm1,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70fk9,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70fmd,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70frr,SOUTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70dpj,SOUTH
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70fqh,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70f39,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70f68,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70f2c,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70drc,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70fk4,WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70dp4,SOUTH_WEST
15-18,WEDNESDAY,8,ON_BICYCLE,u0m70f73,WEST
12-15,FRIDAY,8,ON_BICYCLE,u0m70frp,WEST
12-15,FRIDAY,8,ON_BICYCLE,u0m70fq5,NORTH_EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m70fqt,NORTH_EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m70fm6,EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m71486,NORTH_EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m714rr,EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m714mz,EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m714mp,EAST
12-15,FRIDAY,8,ON_BICYCLE,u0m714qx,EAST
12-15,FRIDAY,8,TRAIN,u0m714xw,NORTH
12-15,FRIDAY,8,TRAIN,u0mgthgg,WEST
12-15,FRIDAY,8,TRAIN,u0mgthgk,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0qh0n31,EAST
15-18,FRIDAY,8,TRAIN,u0mgyx0f,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5dmhd,EAST
15-18,FRIDAY,8,TRAIN,u0mgyxe8,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5djk9,EAST
15-18,FRIDAY,8,TRAIN,u0q5dj2x,EAST
15-18,FRIDAY,8,TRAIN,u0mgymbb,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh025m,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0qh02s9,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0qh0k2f,SOUTH
15-18,FRIDAY,8,TRAIN,u0mgyq5w,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q59vu1,EAST
15-18,FRIDAY,8,TRAIN,u0q59wrn,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bt0m,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c4h1,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0munbge,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c42v,EAST
15-18,FRIDAY,8,TRAIN,u0muphr4,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bez6,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgv0uu,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bsks,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mupypn,EAST
15-18,FRIDAY,8,TRAIN,u0mupvbe,EAST
15-18,FRIDAY,8,TRAIN,u0mgsxr5,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q59y0m,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bg6v,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bqsf,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5dt10,EAST
15-18,FRIDAY,8,TRAIN,u0qh06dk,SOUTH
15-18,FRIDAY,8,TRAIN,u0qh064w,SOUTH
15-18,FRIDAY,8,TRAIN,u0mgvun1,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bfvs,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c836,SOUTH
15-18,FRIDAY,8,TRAIN,u0q59xds,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bmye,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5dj6e,EAST
15-18,FRIDAY,8,TRAIN,u0q5dm0e,EAST
15-18,FRIDAY,8,TRAIN,u0q5bg95,EAST
15-18,FRIDAY,8,TRAIN,u0mupkys,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgyxyq,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgvds3,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q59wy1,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bsn5,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q59vty,EAST
15-18,FRIDAY,8,TRAIN,u0q5bscv,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgv1nt,EAST
15-18,FRIDAY,8,TRAIN,u0qh03g3,SOUTH
15-18,FRIDAY,8,TRAIN,u0q5dm4s,EAST
15-18,FRIDAY,8,TRAIN,u0q5c1xs,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5djny,EAST
15-18,FRIDAY,8,TRAIN,u0q59vfp,EAST
15-18,FRIDAY,8,TRAIN,u0mgv3uc,EAST
15-18,FRIDAY,8,TRAIN,u0qh0q2u,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh037u,SOUTH
15-18,FRIDAY,8,TRAIN,u0qh0m0g,SOUTH
15-18,FRIDAY,8,TRAIN,u0q5c33m,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c2yd,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh071c,SOUTH
15-18,FRIDAY,8,TRAIN,u0mupt0s,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c469,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgsw6h,NORTH
15-18,FRIDAY,8,TRAIN,u0mgubqb,EAST
15-18,FRIDAY,8,TRAIN,u0mgv03j,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgvg32,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5brf8,SOUTH
15-18,FRIDAY,8,TRAIN,u0mgyjq4,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh02uw,SOUTH
15-18,FRIDAY,8,TRAIN,u0mgsz8u,EAST
15-18,FRIDAY,8,TRAIN,u0mgsw5e,NORTH_WEST
15-18,FRIDAY,8,TRAIN,u0mgv6p0,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh073x,SOUTH
15-18,FRIDAY,8,TRAIN,u0q5bsem,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh07ch,SOUTH
15-18,FRIDAY,8,TRAIN,u0qh0m3t,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0munb2u,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgvgeu,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgszff,EAST
15-18,FRIDAY,8,TRAIN,u0q5c3hc,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgvd33,EAST
15-18,FRIDAY,8,TRAIN,u0q5br6d,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgsxmh,EAST
15-18,FRIDAY,8,TRAIN,u0mgv3de,EAST
15-18,FRIDAY,8,TRAIN,u0mup5kh,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mup437,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgubhb,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bfxm,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c35p,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh0n6v,EAST
15-18,FRIDAY,8,TRAIN,u0muptwx,EAST
15-18,FRIDAY,8,TRAIN,u0mgyhgs,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bqgm,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c2xf,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5c1vf,EAST
15-18,FRIDAY,8,TRAIN,u0q59xkh,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgv32s,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh0mf2,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0mgyh2y,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh0q4h,SOUTH
15-18,FRIDAY,8,TRAIN,u0qh0k8x,SOUTH
15-18,FRIDAY,8,TRAIN,u0mgvdz5,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mup4g5,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5bghm,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgswf0,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh0nwf,EAST
15-18,FRIDAY,8,TRAIN,u0mupksp,EAST
15-18,FRIDAY,8,TRAIN,u0muncme,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5dmpb,EAST
15-18,FRIDAY,8,TRAIN,u0q5bmx8,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q59xhc,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mupts7,EAST
15-18,FRIDAY,8,TRAIN,u0q5bqjy,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0mgyqwk,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mupvfy,EAST
15-18,FRIDAY,8,TRAIN,u0mupyhf,EAST
15-18,FRIDAY,8,TRAIN,u0mgsx4f,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mupt6m,EAST
15-18,FRIDAY,8,TRAIN,u0muncze,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mup5vj,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0qh0nsg,EAST
15-18,FRIDAY,8,TRAIN,u0mgv0ej,NORTH_EAST
15-18,FRIDAY,8,TRAIN,u0mupk9e,EAST
15-18,FRIDAY,8,TRAIN,u0q5dmn3,EAST
15-18,FRIDAY,8,TRAIN,u0q59xcz,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q5kjv6,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q5kj4k,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q57gyp,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q57unt,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q5kq84,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q5kqct,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q5khc0,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q57urv,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q5kj7z,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q5knnw,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0nrsm05,SOUTH
15-18,FRIDAY,8,TRAIN,u0q1etjr,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0nrj8qr,SOUTH
15-18,FRIDAY,8,TRAIN,u0q0sjzs,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q57gvu,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q0rr2n,EAST
15-18,FRIDAY,8,TRAIN,u0nrkf9d,SOUTH_EAST
15-18,FRIDAY,8,TRAIN,u0q1eze7,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q0eyhc,EAST
15-18,FRIDAY,8,TRAIN,u0q21e1h,WEST
15-18,FRIDAY,8,TRAIN,u0q5krev,SOUTH_WEST
15-18,FRIDAY,8,TRAIN,u0q57fnn,SOUTH
15-18,FRIDAY,8,TRAIN,u0q4skwp,SOUTH
15-18,FRIDAY,8,TRAIN,u0q1ew74,SOUTH
