idx	moveId	time	latitude	longitude	accuracy	speed	segmentLength	segmentSpeed	closeToRail	closeToTram	closeToBus	onWater	isPowerSaving
1	406	1737356725	46.7938435	7.1589512	16.427000045776367	0.906961977481842	51	0.8446840047836304					0
2	406	1737356665	46.7937875	7.1596119	17.638999938964844	1.6257702112197876	58	1.1871414184570312					0
3	406	1737356616	46.7936668	7.1588684	34.327999114990234	4.294853210449219	75	3.760697603225708					0
4	406	1737356596	46.7931785	7.1581847	39.566001892089844	3.3119657039642334	80	2.6748318672180176					0
5	406	1737356566	46.7938967	7.1582878	58.349998474121094	4.036783218383789	52	5.1514892578125					0
6	406	1737356556	46.7941138	7.15769	43.8120002746582	2.1200244426727295	67	1.6774944067001343					0
7	406	1737356516	46.7947172	7.1577005	20.697999954223633	2.819225311279297	56	1.4067513942718506					0
8	406	1737356476	46.7947904	7.1569691	27.85099983215332	3.6130263805389404	88	1.760533332824707					0
9	406	1737356426	46.7954849	7.1564141	24.52899932861328	2.915971517562866	69	3.461560010910034					0
10	406	1737356406	46.7959355	7.1557865	26.95800018310547	0.5076357126235962	53	1.0626018047332764					0
11	406	1737356356	46.7963143	7.1553611	29.72100067138672	3.065755605697632	56	1.8575936555862427					0
12	406	1737356326	46.7967122	7.154916	14.727999687194824	1.6853080987930298	66	1.6506229639053345					0
13	406	1737356286	46.7971504	7.1543307	50.847999572753906	3.1760332584381104	68	1.6950935125350952					0
14	406	1737356246	46.7977219	7.1540201	32.013999938964844	2.4914517402648926	64	3.184128999710083					0
15	406	1737356226	46.7976054	7.153201	50.08599853515625	4.738325595855713	63	5.2384467124938965					0
16	406	1737356214	46.7981681	7.1532805	46.650001525878906	2.4612603187561035	51	1.3501344919204712					0
17	406	1737356176	46.7985887	7.1530034	13.345000267028809	1.1519254446029663	55	1.3699594736099243					0
18	406	1737356136	46.7990741	7.152879	29.66200065612793	1.6449189186096191	59	1.4786922931671143					0
19	406	1737356096	46.7995664	7.1525847	23.295000076293945	2.871124744415283	72	1.3906879425048828					0
20	406	1737356044	46.8002157	7.1526387	46.0	1.0499999523162842	61	3.588388681411743					0
21	406	1737356027	46.8006116	7.1520839	3.615000009536743	1.2870204448699951	52	1.4785946607589722					0
22	406	1737355992	46.8010747	7.1521515	14.65999984741211	1.2580418586730957	80	3.7962069511413574					0
23	406	1737355971	46.8014756	7.1512832	4.333000183105469	1.039928674697876	62	1.5483438968658447					0
24	406	1737355931	46.8020162	7.1510873	7.800000190734863	0.29148170351982117	56	0.7418266534805298					0
25	406	1737355855	46.8023665	7.1505518	52.814998626708984	0.3680451512336731	0	0.0					0
